student_id,gender,age,study_hours_per_week,attendance_percentage,assignment_score,internal_marks,previous_gpa,extracurricular_activities,parental_education,final_score,performance_category
1,Male,23,31.889569485258136,92.25614468931357,79.95222935751907,82.09498501219224,3.004743639944191,1,PhD,84.48754378019025,Good
2,Female,24,19.621837375856682,78.36959510387832,81.18243891451331,53.916448750613924,2.655767988036517,1,PhD,62.31094764938406,Average
3,Male,18,19.747495079697458,62.07826310217074,82.42524100593441,87.60593107447119,3.474264827913278,0,Bachelor,73.52035390580278,Average
4,Male,18,30.815380555611203,91.45112797536132,63.37010139287706,45.656342568661216,2.0734258869661333,1,High School,70.68413132911164,Average
5,Male,18,13.357200101890582,68.05455128543898,50.75553421072375,46.9275358008647,2.9495380120873023,1,PhD,55.024909233312485,Poor
6,Female,22,8.866593959598813,70.34483339552155,98.25076847272359,93.85333553053385,2.672646788540667,1,Master,53.877271945098656,Poor
7,Male,21,17.41177551742718,66.58825413729184,62.54465228455513,77.06113940485025,3.8410717702051094,0,Master,65.61158455059395,Average
8,Male,22,15.053364707892861,73.2086025948599,83.80131440262738,86.57879734359241,2.024006054545365,0,Master,61.20634267233722,Average
9,Male,21,15.370784215959652,90.2700602275454,85.33149349393548,57.83811575433349,3.105629751436698,1,Master,75.8682418452776,Good
10,Female,22,13.176271286746848,80.77543438015749,80.50037085397429,77.20660622363324,3.481327162133252,1,PhD,69.57588180921796,Average
11,Male,22,6.473261637272666,68.19525096602851,65.64536971068242,72.68330050197284,2.9700359750480825,0,Bachelor,54.55970665376073,Poor
12,Male,23,5.625587715669483,95.11320312608163,63.554812688203285,73.1732566067621,2.170806060325443,1,Bachelor,59.543007714492205,Poor
13,Male,20,39.570283640761104,95.18327419806117,79.88341413513515,77.5392852745747,3.9449227800558044,1,Master,85.95120958405528,Good
14,Male,22,19.97205968075518,94.82313700184028,93.30478168058457,71.64475452210041,3.0360208627521956,0,Bachelor,83.79883413497919,Good
15,Female,23,18.451432650588856,69.55184845526156,97.33668644616978,63.598430311646624,3.2283724886380227,1,Master,78.26142175141756,Good
16,Male,19,28.787654894257443,78.04957376723952,55.29529022018788,55.17574819093008,2.4732195654150146,1,Master,68.58617135145867,Average
17,Female,20,12.638886075277245,99.399586245635,57.74143062988599,82.27197320022611,2.9669961702136076,1,High School,73.58765149228002,Average
18,Female,22,38.248641438257884,90.88049905239961,97.23681293915399,52.44498365017524,2.8582989839166437,1,PhD,83.02072244357934,Good
19,Female,24,32.52207550454432,61.086696849022395,86.82676141673963,78.07948683849278,2.1497916840039677,1,PhD,70.1294175286707,Average
20,Male,18,8.129385080929083,62.60818365041968,94.14969124148865,52.833305245712964,2.2123207070949347,1,Master,54.23944426983837,Poor
21,Female,19,19.615327152472492,78.55725507249332,60.13163170676716,74.39315934749496,3.6749450392375493,1,PhD,68.89817716588874,Average
22,Male,19,35.76914076467577,96.3688082344624,79.3792935554701,81.08930469209659,2.4796399044131805,0,Bachelor,83.1874784018483,Good
23,Female,23,38.06562078019936,81.54807191810858,85.05697972087368,52.029263889859656,2.389916542997261,0,Master,82.41565140166593,Good
24,Female,19,21.359052893745442,79.91250032137161,84.00559427234863,43.29688154737195,3.0098229025002787,1,High School,68.34957050384527,Average
25,Female,20,26.46939862237477,64.21894799826522,70.4075845433349,47.20355586467957,3.537494262725026,1,Bachelor,60.92103803507358,Average
26,Female,22,10.846188113222633,86.27120418897177,50.76974458456542,73.3298331999064,2.123893037157976,0,High School,58.759563709212514,Poor
27,Female,22,39.69090191479418,92.88412642400903,79.14630284021315,86.71955234241545,3.1536158392765117,1,High School,94.02808227230172,Excellent
28,Female,24,13.10850954842052,75.2168003003025,62.65507695898044,42.47482516794834,2.2384208856811467,0,PhD,53.99122020553418,Poor
29,Female,18,37.995612094729395,91.0244740370131,72.51271230714451,80.37831924729053,2.072922101651237,1,PhD,88.75766369925935,Good
30,Female,23,27.737632714732896,98.57906615603247,97.87905075419087,58.77252552725287,2.105487904324435,1,Master,73.01638084831023,Average
31,Male,18,26.27078782076007,68.15065836510756,69.95176588212173,66.31906034557375,3.6683282164168824,1,PhD,72.18954033680882,Average
32,Male,19,22.9440978855778,80.93318524778965,91.99008033322133,91.0872752415061,2.235944967256123,1,High School,69.24093596515738,Average
33,Female,24,13.073443410121554,71.48551832338302,59.42703028746256,58.2584327604715,2.090302728824584,0,High School,47.95598314089617,Poor
34,Female,18,11.178481120192789,91.71417676135357,83.62302490125144,65.59353136667173,2.8757997742858246,1,Bachelor,61.91088498275964,Average
35,Female,20,12.717017317456136,83.1037346352463,98.85034772194717,40.75253281183746,3.6879869438840496,0,High School,60.706312554907626,Average
36,Male,22,11.52533917504891,85.38329670201215,55.09465504364684,44.48792960026611,2.524816752978604,1,Master,51.25401179429982,Poor
37,Female,19,32.28545657483637,91.91656638463576,50.4159971113596,54.22253751241312,2.843425235051833,0,Master,71.44762561049373,Average
38,Male,24,17.254384070835552,75.83881890649819,71.67913963163072,41.53187324515909,2.0798450651275022,1,PhD,61.8514867873269,Average
39,Male,18,7.024493679718873,96.60360273628173,54.63127415256836,74.72564293265381,2.8981570282697517,1,PhD,57.193969591417186,Poor
40,Male,23,38.918592054928396,81.3211546898456,87.41921748381156,63.45190962408924,3.1552261612742676,1,PhD,76.4807995233711,Good
41,Male,20,35.9325059737199,66.31819291341392,95.72743319242795,70.14798615004122,3.1418141075042896,1,Master,86.7514867708717,Good
42,Male,20,37.471329911832456,87.8359647267521,71.70104863543794,49.60559522429813,2.6648533843487305,1,High School,74.3202204190913,Average
43,Female,18,39.82177379262524,91.73045401753018,62.93558210777205,56.27626161901389,2.631066361326271,0,PhD,80.1115632810505,Good
44,Female,22,11.086333722682056,72.67046708270107,71.72016595033048,76.51034611689988,2.2132472378731958,0,Bachelor,60.068752799674435,Average
45,Female,18,18.868470661593058,94.28717027995012,86.17239089250005,93.09164979967198,2.7335966412925368,1,PhD,76.75341490987839,Good
46,Female,19,31.538346649643195,96.24573019063065,50.45270807901855,42.77292254812151,2.198989337745929,0,Master,75.19004361488419,Good
47,Female,18,29.36072163188273,71.07617949511236,79.47269947423486,88.97113764703963,3.5331918894241032,0,PhD,80.2577920801171,Good
48,Male,20,10.386356721894927,99.34085890860888,80.66458424436895,71.72846607211646,3.932548595496372,1,High School,65.04199261852006,Average
49,Female,24,33.55415937467163,65.62846112195034,81.88441234479677,71.0155761715593,3.940148913333414,1,PhD,89.3451368594764,Good
50,Female,18,12.855420014283123,68.0806267360996,62.10110399904386,67.51531943642682,3.7301421987507877,1,Master,59.50626322357817,Poor
51,Male,22,12.833616518791807,67.36899356952105,85.70263616890634,43.816674724730085,3.201584298679238,1,Master,57.447748837555466,Poor
52,Female,24,23.794104801269476,95.75958840031481,54.56957431658882,44.94322684548884,3.4017313944877596,1,Bachelor,72.76483019266917,Average
53,Male,23,25.75289771945961,86.17170209299847,59.96351682334004,73.05016031124973,2.570411605360828,0,Master,71.48110996725224,Average
